,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Xining,100,CN,1562816491,90,36.62,101.77,46.45,1.99
376,Nanortalik,0,GL,1562816492,93,60.14,-45.24,38.57,1.72
377,Grindavik,90,IS,1562816494,100,63.84,-22.43,54.0,3.36
378,San Vicente,75,EC,1562816495,83,-0.59,-80.41,73.4,8.05
379,Anajatuba,28,BR,1562816496,97,-3.26,-44.62,71.06,1.32
380,Banjar,95,ID,1562816498,77,-7.37,108.54,76.06,2.06
381,Itarema,9,BR,1562816499,90,-2.92,-39.92,72.89,4.45
382,Padang,0,ID,1562816500,76,-0.92,100.36,82.06,2.75
383,Havelock,1,US,1562816391,83,34.88,-76.9,82.0,4.7
384,San Ramon de la Nueva Oran,97,AR,1562816503,79,-23.13,-64.33,59.09,3.29
385,Kenora,20,CA,1562816504,72,49.76,-94.48,69.8,2.24
386,Goderich,59,CA,1562816505,87,43.74,-81.71,73.0,8.01
387,Kohlu,0,PK,1562816506,29,29.9,69.25,91.61,5.19
388,Anchorage,90,US,1562816508,77,61.22,-149.89,66.99,5.82
389,Chimichagua,60,CO,1562816509,96,9.26,-73.81,75.9,6.02
390,Narasannapeta,100,IN,1562816510,74,18.42,84.04,83.62,4.05
391,Aasiaat,56,GL,1562816511,95,68.71,-52.87,39.09,7.45
392,Pevek,0,RU,1562816513,61,69.7,170.27,52.97,13.13
393,Fairbanks,20,US,1562816470,47,64.84,-147.72,84.0,4.79
394,Sinop,97,TR,1562816515,90,42.03,35.15,67.73,9.91
395,Okhotsk,90,RU,1562816228,65,59.36,143.24,64.92,5.48
396,Palmer,75,AU,1562816517,87,-34.85,139.16,59.0,14.99
397,Muzhi,100,RU,1562816519,94,65.4,64.7,62.2,9.35
398,Ust-Tsilma,100,RU,1562816520,98,65.44,52.15,48.02,4.72
399,Hokitika,98,NZ,1562816522,79,-42.72,170.96,53.51,5.12
400,Mwene-Ditu,53,CD,1562816523,43,-7.01,23.45,68.63,1.3
401,San-Pedro,57,CI,1562816524,97,4.75,-6.64,67.6,2.46
402,Guerrero Negro,0,MX,1562816526,81,27.97,-114.04,66.74,20.15
403,Half Moon Bay,75,US,1562816527,93,37.46,-122.43,69.8,9.17
404,Georgetown,20,GY,1562816495,100,6.8,-58.16,73.4,2.24
405,Kifri,0,IQ,1562816529,15,34.69,44.96,87.35,6.85
406,Oksfjord,57,NO,1562816531,66,70.24,22.35,53.6,4.7
407,Grand Island,1,US,1562816301,73,40.92,-98.34,73.4,4.88
408,Petropavlovka,0,RU,1562816533,42,50.61,105.32,76.66,3.98
409,Sao Gabriel da Cachoeira,66,BR,1562816534,98,-0.13,-67.09,70.93,2.13
410,Rurrenabaque,7,BO,1562816536,90,-14.44,-67.53,64.2,3.58
411,Severnoye,0,RU,1562816537,83,54.09,52.54,57.86,10.94
412,Husavik,35,CA,1562816538,72,50.56,-96.99,64.99,5.86
413,Antofagasta,90,CL,1562816488,71,-23.65,-70.4,57.2,4.7
414,Camacha,75,PT,1562816541,68,33.08,-16.33,69.8,16.11
415,Aswan,0,EG,1562816542,21,24.09,32.9,83.37,12.39
416,Kalmunai,100,LK,1562816543,66,7.42,81.82,84.23,3.83
417,Champua,97,IN,1562816545,69,22.04,85.66,82.74,17.02
418,Ust-Maya,40,RU,1562816546,51,60.42,134.54,80.09,4.32
419,Cortland,40,US,1562816547,83,42.6,-76.18,78.01,6.64
420,Batagay-Alyta,67,RU,1562816549,37,67.8,130.41,70.82,7.67
421,Kansanshi,0,ZM,1562816550,54,-12.1,26.43,49.89,6.76
422,Faya,5,SA,1562816551,63,18.39,42.45,68.0,2.08
423,Aykhal,0,RU,1562816552,34,65.95,111.51,78.8,6.71
424,Pailon,0,BO,1562816554,88,-17.66,-62.72,68.0,8.05
425,Adre,100,TD,1562816555,67,13.47,22.2,76.42,17.18
426,Troitskoye,0,RU,1562816556,63,52.98,84.68,67.31,6.42
427,Bubaque,100,GW,1562816557,84,11.28,-15.83,79.68,12.71
428,Mackay,75,CA,1562816559,82,53.65,-115.58,59.0,6.93
429,Nizhniy Kuranakh,0,RU,1562816560,47,58.84,125.49,78.37,5.99
430,George,7,MW,1562816561,96,-15.35,34.83,53.81,1.19
431,LaBelle,20,US,1562816562,88,26.76,-81.44,84.0,4.7
432,Pangody,100,RU,1562816564,92,65.85,74.49,52.81,21.61
433,Baglan,94,GB,1562816565,87,51.62,-3.81,64.0,4.7
434,Port Hardy,75,CA,1562816566,88,50.7,-127.42,62.6,3.36
435,Yar-Sale,100,RU,1562816300,78,66.83,70.83,53.92,20.51
436,Zhigansk,100,RU,1562816569,32,66.77,123.37,82.22,7.23
437,Hornepayne,67,CA,1562816570,83,49.22,-84.78,60.56,6.35
438,Mayna,100,RU,1562816571,78,53.0,91.49,60.82,3.67
439,Macas,50,EC,1562816572,97,-2.3,-78.12,42.31,3.56
440,Bowen,75,AU,1562816574,83,-20.01,148.25,73.99,13.87
441,Hambantota,40,LK,1562816575,88,6.12,81.12,82.4,10.29
442,Meulaboh,61,ID,1562816576,78,4.14,96.13,81.39,4.83
443,Sayaxche,95,GT,1562816578,96,16.52,-90.17,75.13,3.38
444,Tukan,7,RU,1562816579,90,53.84,57.45,60.85,5.21
445,Mathathane,0,BW,1562816580,73,-22.27,28.75,47.59,2.24
446,Huarmey,0,PE,1562816582,87,-10.07,-78.15,62.53,12.62
447,Izhma,97,RU,1562816583,95,65.01,53.91,54.1,8.57
448,Auki,43,NG,1562816584,80,12.18,6.51,73.79,12.33
449,Ikom,100,NG,1562816585,98,5.96,8.72,70.45,0.92
450,Sorland,0,NO,1562816587,86,67.67,12.69,50.27,18.5
451,Ikot Ekpene,92,NG,1562816588,97,5.18,7.71,71.54,4.03
452,Vanavara,100,RU,1562816300,61,60.35,102.28,71.71,9.28
453,Langxiang,100,CN,1562816590,36,46.95,128.87,81.61,2.3
454,Baruun-Urt,0,MN,1562816592,33,46.68,113.28,78.91,10.87
455,Port Lincoln,38,AU,1562816593,74,-34.72,135.86,58.98,27.67
456,Rivadavia,3,AR,1562816594,33,-31.53,-68.59,43.91,2.55
457,Ardakan,40,IR,1562816596,27,32.31,54.02,87.8,13.87
458,Ulety,0,RU,1562816597,33,51.36,112.48,81.08,7.25
459,Zhuhai,20,CN,1562816598,53,40.71,112.04,75.2,4.47
460,Mogadishu,47,SO,1562816458,86,2.04,45.34,75.7,11.32
461,Adrar,0,DZ,1562816601,11,27.87,-0.29,96.8,11.41
462,Fevik,11,NO,1562816602,100,58.38,8.68,54.0,2.24
463,Kiruna,100,SE,1562816603,76,67.86,20.23,51.8,4.7
464,Dzerzhinskoye,86,RU,1562816604,56,56.84,95.22,69.02,8.08
465,Harrismith,0,ZA,1562816606,25,-28.27,29.13,43.79,5.7
466,Basco,20,US,1562816607,69,40.33,-91.2,78.8,7.56
467,Aripuana,0,BR,1562816447,79,-9.17,-60.63,73.09,2.84
468,Luwuk,100,ID,1562816609,95,-0.95,122.79,64.87,4.54
469,Saint-Joseph,0,FR,1562816611,73,43.56,6.97,77.0,3.36
470,Orlik,0,PL,1562816612,93,53.95,17.74,53.01,3.36
471,Severobaykalsk,0,RU,1562816613,42,55.65,109.32,69.96,2.89
472,Bulgan,28,MN,1562816615,73,48.81,103.53,69.28,0.89
473,Waingapu,0,ID,1562816616,60,-9.65,120.26,80.22,16.46
474,Saint-Pierre,0,FR,1562816617,63,48.95,4.24,60.8,2.91
475,Passagem Franca,0,BR,1562816618,68,-6.18,-43.78,71.96,4.72
476,Gualeguaychu,74,AR,1562816620,91,-33.01,-58.51,55.0,1.99
477,Holland,1,US,1562816372,61,42.79,-86.11,82.0,9.17
478,Nelson Bay,0,AU,1562816622,40,-32.72,152.14,69.01,24.16
479,Kryvyy Rih,0,UA,1562816624,82,47.92,33.35,55.4,4.47
480,Luang Prabang,75,LA,1562816625,74,19.89,102.14,82.4,3.94
481,Jumla,89,NP,1562816626,92,29.28,82.18,59.47,0.96
482,Nouadhibou,2,MR,1562816627,82,20.93,-17.03,68.0,19.46
483,Baza,0,ES,1562816629,58,37.49,-2.77,69.01,3.0
484,Vinci,0,IT,1562816630,77,43.79,10.93,71.01,1.12
485,Parana,0,BR,1562816631,94,-7.52,-72.89,73.4,1.12
486,Jalu,0,LY,1562816633,38,29.03,21.55,78.74,6.8
487,Sechura,0,PE,1562816634,87,-5.56,-80.82,63.86,12.01
488,Sangar,93,RU,1562816636,35,63.92,127.47,84.58,8.86
489,Innisfail,65,AU,1562816637,66,-17.52,146.03,72.0,3.0
490,Bjornevatn,75,NO,1562816638,81,69.67,29.98,42.8,5.82
491,Mersing,95,MY,1562816640,57,2.43,103.84,87.73,2.68
492,Mercedes,67,UY,1562816641,91,-33.25,-58.03,55.0,1.99
493,Walvis Bay,90,NA,1562816642,93,-22.95,14.51,62.6,5.82
494,Muros,0,ES,1562816644,77,42.77,-9.06,68.0,1.12
495,Velyka Lepetykha,100,UA,1562816645,83,47.18,33.94,57.07,5.61
496,Juneau,40,US,1562816646,50,58.3,-134.42,75.2,5.82
497,Nkhata Bay,64,MW,1562816647,89,-11.61,34.3,52.32,4.59
498,Ilebo,92,CD,1562816649,72,-4.33,20.59,71.45,2.73
499,Bukama,0,CD,1562816650,47,-9.2,25.85,62.63,2.95
500,Alexandria,0,RO,1562816512,93,43.97,25.33,57.99,1.01
501,Tura,100,RU,1562816652,87,64.27,100.22,59.66,7.07
502,Penukonda,100,IN,1562816654,60,14.08,77.6,79.32,21.41
503,Kiunga,100,PG,1562816655,65,-6.12,141.3,81.73,2.59
504,Mandalgovi,100,MN,1562816656,28,45.76,106.27,78.76,11.45
505,Salalah,75,OM,1562816657,88,17.01,54.1,80.6,6.93
506,Sulecin,0,PL,1562816659,100,52.44,15.12,50.0,1.12
507,The Valley,40,AI,1562816660,74,18.22,-63.06,82.4,11.41
508,Kalmar,20,SE,1562816502,85,56.66,16.36,55.0,1.01
509,Fengzhen,89,CN,1562816662,56,40.43,113.15,68.81,6.04
510,Straumen,32,NO,1562816664,100,63.87,11.3,52.0,3.36
511,Monte Carmelo,0,BR,1562816665,58,-18.73,-47.5,54.66,3.96
512,Deputatskiy,99,RU,1562816666,51,69.3,139.9,73.15,9.89
513,Parrita,0,CR,1562816667,100,9.52,-84.33,72.0,2.24
514,Tshikapa,98,CD,1562816669,31,-6.42,20.79,74.57,2.13
515,Washougal,90,US,1562816670,68,45.58,-122.35,71.6,3.36
516,Kloulklubed,75,PW,1562816671,83,7.04,134.26,82.4,9.17
517,Roebourne,100,AU,1562816672,19,-20.77,117.15,78.91,20.09
518,Salekhard,100,RU,1562816674,95,66.54,66.62,59.05,15.84
519,Hvide Sande,100,DK,1562816675,100,56.01,8.13,57.99,5.82
520,Vanderhoof,100,CA,1562816676,95,54.02,-124.02,55.02,4.52
521,Galesong,20,ID,1562816678,52,-5.32,119.37,89.6,5.82
522,Aksu,0,KZ,1562816679,46,52.04,76.93,71.6,8.95
523,Ruteng,0,ID,1562816680,42,-8.61,120.46,87.67,3.56
524,Fort-Shevchenko,0,KZ,1562816682,75,44.51,50.26,78.26,13.02
525,Rio Claro,45,BR,1562816684,65,-22.41,-47.56,56.86,2.62
526,Menomonie,40,US,1562816688,82,44.88,-91.92,72.0,7.2
527,Petropavlovsk-Kamchatskiy,40,RU,1562816689,64,53.05,158.65,68.0,8.95
528,Maryborough,8,AU,1562816691,45,-25.54,152.7,74.59,6.35
529,Huilong,100,CN,1562816692,95,31.15,106.5,70.91,7.18
530,Strezhevoy,20,RU,1562816693,82,60.73,77.6,64.4,4.47
531,Kondinskoye,60,RU,1562816694,74,59.65,67.41,70.1,17.94
532,Haines Junction,64,CA,1562816696,32,60.75,-137.51,71.65,7.14
533,Hovd,45,NO,1562816697,100,63.83,10.7,52.0,3.36
534,Vao,100,EE,1562816698,78,59.1,26.19,54.28,8.77
535,Agadez,1,NE,1562816699,65,16.97,7.99,80.6,4.7
536,Bandar-e Lengeh,0,IR,1562816701,70,26.56,54.88,91.4,4.7
537,Kaka,0,TM,1562816702,25,37.35,59.62,88.1,24.49
538,Macklin,80,CA,1562816703,85,52.34,-109.94,65.03,9.33
539,Coihaique,95,CL,1562816499,100,-45.58,-72.07,37.4,6.93
540,Caravelas,99,BR,1562816706,84,-17.73,-39.27,70.23,9.31
541,Cayenne,20,GF,1562816707,94,4.94,-52.33,73.4,3.13
